x,y,z,d
-0.21,0.5817781,0.51325443,0.15232751
-0.11,0.0317781,0.36325443,0.15328893
-0.11,0.2317781,0.36325443,0.15433642
0.29,-0.2182219,0.16325443,0.15552604
-0.06,0.9317781,0.61325443,0.15809044
-0.31,-0.4682219,0.96325443,0.15853667
-0.36,0.3817781,0.21325443,0.15901658
0.34,0.9817781,0.11325443,0.15903214
0.34,0.7317781,0.46325443,0.15927684
-0.36,-0.0682219,0.46325443,0.15983239
-0.16,-0.8682219,0.71325443,0.15986012
0.19,-0.1682219,0.46325443,0.15994756
-0.31,-0.0182219,0.11325443,0.16137117
-0.31,-0.2682219,0.46325443,0.16144699
-0.36,0.6317781,0.26325443,0.16343853
-0.26,0.4817781,0.31325443,0.16523938
-0.41,-0.4682219,0.76325443,0.16571361
-0.31,-0.0182219,0.36325443,0.16622396
-0.36,-0.0682219,0.51325443,0.16669405
0.14,0.9317781,0.66325443,0.16857205
0.09,0.6317781,0.76325443,0.16941057
0.24,0.6817781,0.31325443,0.16950238
0.19,0.5317781,0.36325443,0.17027773
-0.01,0.9317781,0.66325443,0.17040777
-0.31,-0.4682219,0.71325443,0.17111237
0.04,-0.1182219,0.16325443,0.17122371
0.24,0.7817781,0.46325443,0.17128406
0.29,-0.4682219,0.96325443,0.17184469
0.19,-0.3182219,0.61325443,0.17228371
-0.11,-0.4182219,0.76325443,0.17364196
-0.21,-0.0182219,0.11325443,0.17451066
-0.26,0.5817781,0.31325443,0.17457473
-0.21,0.6317781,0.31325443,0.17509665
-0.11,-0.9682219,0.71325443,0.17529668
-0.06,-0.4682219,1.01325443,0.17547388
0.09,0.6817781,0.76325443,0.17673226
0.09,-0.2182219,0.81325443,0.1772403
0.34,0.5317781,0.16325443,0.17732912
0.34,0.7817781,0.36325443,0.17791533
-0.01,0.1317781,0.36325443,0.17983676
0.14,-0.4182219,0.21325443,0.18057807
0.04,-0.0182219,0.51325443,0.18152435
0.34,0.4817781,0.16325443,0.18222085
-0.16,0.6317781,0.46325443,0.1842462
0.14,-0.0182219,0.51325443,0.18428768
0.24,-0.4682219,1.01325443,0.18683177
0.24,-0.4682219,0.56325443,0.18777432
-0.21,-0.3182219,0.76325443,0.18792213
0.34,0.6317781,0.16325443,0.18958972
0.24,-0.4682219,0.86325443,0.189749
-0.21,0.6317781,0.36325443,0.18988758
0.29,-0.4682219,0.61325443,0.18999848
-0.31,0.9317781,0.21325443,0.1900043
-0.16,-0.3182219,0.91325443,0.19180284
-0.26,0.5317781,0.31325443,0.19265538
0.19,-0.8682219,0.31325443,0.19459371
0.19,0.4817781,0.31325443,0.19549343
0.44,-0.5682219,0.86325443,0.19642393
0.04,0.6817781,0.26325443,0.19675027
-0.36,-0.1182219,0.46325443,0.19779336
-0.21,-0.1182219,0.66325443,0.19954935
-0.01,0.1817781,0.51325443,0.20040947
-0.31,0.2817781,0.16325443,0.20055726
0.29,0.8317781,0.26325443,0.20073956
